Video Title,Comment
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"""NO.1 BERKELILING DARI KAMPUNG KE KAMPUNG, BUKAN PANGGUNG KE PANGGUNG"" MANTAP AIRIN, ADE, MENANG, MENANG, MENANG !!!"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Anti dimyati
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Yg korupsi wakilnya😂
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Pak andra coba pake peci supaya keliatan sopan ini banten loh kota santri
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,sumangat untuk pak dimyati dan andra soni salam dari wong pontang tirtayasa
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"S
Suara pakuhaji untuk bu arin semangat bu airin"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Tangsel❤ Airin
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Mudah mudahan keyakinan sya untuk mendukung ibu Airin Ade menjadi gubernur, jadi kenyataan 🤲"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Airin ade pas banget pilihan kita
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,02 nte nyambung😂
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Mana nih pendukung andra,ko diem""bae tunjukan pesonamu,bu airin yes yes yes andra now now now.."
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,bu arin ade di jamin 1000%menang...amin🤲🤲🤲
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,02😂
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,hidup arin ade semangt terus
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Airin menang ❤
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Ibu airin ade ruhay pokona mah  pasti menang
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,",banyak yang komen ini itu, kalau komen tu yang bermanfaat sih ini lah itu lah siapapun gubenur kita yang menang tolong berantas yang nama nya mau masuk kerja harus bayar ? kalau rakyat nya kerja pasti ga sda yang miskin,,,,,,,,jaman sekarang jaman nya uang yang merah,,,,kita itu udah di perbudak dengan uang, ada uang urusan lancar"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Bajunya ga ganti2 krn dari dukunnya.hehehe😊
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,1:43:14 epic moment bu airin😍
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,1:43:01 epic moment bu airin❤
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,09% Airin istri koruptor dan tetehnya jg koruptor Banten mau Ter ulang lg di pegang keluarga korup yg dukung itu kayanya pingin koruptor jg ya.biar aman dan sidem koroptornya.ya Rob.....
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Ga ad bukti Dimyati tukang ngibul  alias bohong
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Datang dari kampung ke kampung, silaturahmi dengan cara yg sederhana.. 01👍,, 02 dri panggung ke panggung"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Insa allah airin gubernur banten
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Airin -ade..,, ngapain yg lain."
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Saya siap mendukung bu airin bareng selatan
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,ibu Airin Ade pakeannya lebih santun
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Airin Ade
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Insyaallah  Bu Airin n H. Ade, Gubernur N Wagub Banten... Aamiin"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Menyala ibukuh airin rachmi diany ibu pasti menang amin
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Baju biru kok ga jelas ya
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Dimyati bukannya dari PKS  ya....malu diiihhh inget pilpres 😂😂😂 nyebut Prabowo nya sok akrab bgt
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,90% dukung Airin
